question,answer
Tên tiếng Việt của ngành đào tạo là gì?,Công nghệ Hàng không Vũ trụ
Tên tiếng Anh của ngành Công nghệ Hàng không Vũ trụ là gì?,Aerospace Engineering
Mã số ngành đào tạo Công nghệ Hàng không Vũ trụ là bao nhiêu?,7519001
Ngành Công nghệ Hàng không Vũ trụ sử dụng ngôn ngữ đào tạo nào?,Tiếng Việt
Danh hiệu tốt nghiệp của ngành Công nghệ Hàng không Vũ trụ là gì?,Kĩ sư
Thời gian đào tạo ngành Công nghệ Hàng không Vũ trụ là bao lâu?,"4,5 năm"
Văn bằng tốt nghiệp ngành Công nghệ Hàng không Vũ trụ bằng tiếng Việt là gì?,Kỹ sư ngành Công nghệ Hàng không Vũ trụ
Văn bằng tốt nghiệp ngành Công nghệ Hàng không Vũ trụ bằng tiếng Anh là gì?,The Degree of Engineer in Aerospace Engineering
Kỹ sư ngành Công nghệ Hàng không Vũ trụ cần có kiến thức về những lĩnh vực công nghệ kỹ thuật nào?,"Cơ khí, Điện tử, Công nghệ thông tin và Điều khiển"
"Chương trình Công nghệ Hàng không Vũ trụ của Trường Đại học Công nghệ có đào tạo về thiết kế, chế tạo thiết bị bay không?",Có
"Chương trình Công nghệ Hàng không Vũ trụ của Trường Đại học Công nghệ có đào tạo về khai thác, phát triển các công nghệ tiên tiến trong lĩnh vực Hàng không Vũ trụ không?",Có
"Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có khả năng thiết kế, chế tạo thiết bị bay không?",Có
"Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có khả năng thiết kế, chế tạo vệ tinh không?",Có
Trường Đại học Công nghệ tuyển sinh ngành Công nghệ Hàng không Vũ trụ dựa trên quy chế của đơn vị nào?,"Bộ Giáo dục và Đào tạo, Đại học Quốc gia Hà Nội và Đề án tuyển sinh của Trường Đại học Công nghệ."
Trường Đại học Công nghệ có đào tạo về nghiên cứu kỹ thuật thăm dò không gian không?,Có
