question,answer,generate_answer
Chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ yêu cầu bao nhiêu tín chỉ?,135 tín chỉ.,"149 tín chỉ (không tính các học phần Giáo dục thể chất, Giáo dục quốc phòng - an ninh và Kỹ năng bổ trợ) hoặc 134 tín chỉ (không tính các học phần Giáo dục thể"
Khối kiến thức chung trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,26 tín chỉ.,21 tín chỉ
Môn Triết học Mác - Lênin thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,Khối kiến thức chung.,Không biết
Môn Kinh tế chính trị Mác - Lênin có môn tiên quyết là gì trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,Triết học Mác – Lênin.,Không biết
Môn Giải tích 2 có môn tiên quyết là gì trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,Giải tích 1.,Không biết
Môn Cơ học kỹ thuật 2 có môn tiên quyết là gì trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,Cơ học kỹ thuật 1.,Không biết
Môn Sức bền vật liệu và cơ học kết cấu có môn tiên quyết là gì trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,Cơ học kỹ thuật 2.,Không biết
Sinh viên ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ được học những kiến thức chuyên sâu nào?,"Hệ thống cơ điện tử, Chế tạo thiết bị, Đo lường và điều khiển, Công nghệ màn hình tiên tiến, Hệ thống vi cơ điện tử và nanô cơ điện tử, Kỹ thuật robot.",- Định hướng chuyên sâu về Hệ thống cơ điện tử:
Môn Hệ thống cơ điện tử có những môn tiên quyết nào trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,Cơ học kỹ thuật 2 và Vật lý đại cương 2.,Không biết
Môn Vi xử lý và vi điều khiển có những môn tiên quyết nào trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,Nguyên lý kỹ thuật điện tử và Linh kiện bán dẫn và vi mạch.,Không biết
Môn Điều khiển PLC có những môn tiên quyết nào trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,"Cơ sở kỹ thuật điện, Kỹ thuật đo lường và cảm biến, và Nguyên lý kỹ thuật điện tử.",Không biết
Môn SCADA có những môn tiên quyết nào trong chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ?,Điều khiển PLC và Kiến trúc máy tính và mạng truyền thông công nghiệp.,Không biết
Sinh viên ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ phải thực tập bao nhiêu tín chỉ?,7 tín chỉ.,Không biết
Sinh viên ngành Công nghệ kỹ thuật cơ điện tử của Trường Đại học Công nghệ phải làm khóa luận tốt nghiệp bao nhiêu tín chỉ?,7 tín chỉ.,Không biết
"Các học phần có mã học phần thêm chữ ""E"" được giảng dạy bằng ngôn ngữ gì tại Trường Đại học Công nghệ?",Tiếng Anh.,"Các học phần có mã học phần thêm chữ ""E"" được giảng dạy bằng tiếng Anh. "
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có kiến thức gì về lý luận chính trị?,Cần trình bày được hệ thống tri thức khoa học những nguyên lý cơ bản của Chủ nghĩa Mác Lênin.,Không biết
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần đạt trình độ ngoại ngữ tối thiểu nào?,Đạt trình độ tối thiểu tương đương bậc 3 theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.,Không biết
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có kiến thức về tin học như thế nào?,"Cần có khả năng phân tích, đánh giá và sử dụng một ngôn ngữ lập trình bậc cao.",Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có kiến thức về tin học bao gồm:
Sinh viên ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có kỹ năng nghề nghiệp gì?,Có kỹ năng hoàn thành công việc phức tạp đòi hỏi vận dụng kiến thức lý thuyết và thực tiễn của ngành được đào tạo.,Sinh viên ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có các kỹ năng nghề nghiệp sau:
Sinh viên ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có phẩm chất đạo đức cá nhân như thế nào?,"Cần trung thực, lễ độ, khiêm tốn, nhiệt tình.","Sinh viên ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có phẩm chất đạo đức cá nhân tốt, chuẩn mực trong lời nói, hành vi, thân thiện với bạn bè đồng nghiệp, có tinh thần tự học"
Sinh viên ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có phẩm chất đạo đức nghề nghiệp gì?,Cần có trách nhiệm với công việc và trung thành với tổ chức.,Không biết
Sinh viên ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần có phẩm chất đạo đức xã hội gì?,"Cần có trách nhiệm với xã hội, tuân thủ luật pháp và có ý thức phục vụ.",Không biết
Kỹ sư ngành Công nghệ Hàng không Vũ trụ sau khi tốt nghiệp tại Trường Đại học Công nghệ có thể đảm nhiệm vị trí công tác nào?,"Kỹ sư thiết kế, chế tạo các thiết bị bay, vệ tinh.",Sinh viên ngành Công nghệ Hàng không Vũ trụ sau khi tốt nghiệp tại Trường Đại học Công nghệ có khả năng tham mưu tư vấn và có năng lực thực hiện nhiệm vụ với tư cách như một kỹ sư trong lĩnh vực Hàng không Vũ
Kỹ sư ngành Công nghệ Hàng không Vũ trụ sau khi tốt nghiệp tại Trường Đại học Công nghệ có thể làm gì liên quan đến hệ thống điều khiển?,"Kỹ sư thiết kế, lập trình các hệ thống điều khiển, hệ thống nhúng.","Kỹ sư ngành Công nghệ Hàng không Vũ trụ sau khi tốt nghiệp tại Trường Đại học Công nghệ có thể tham gia các khóa học nâng cao ngắn hạn về Điều khiển, từ đó có thể áp dụng kiến thức về hệ thống điều khiển"
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ có kiến thức gì về vật lý?,"Hiểu và vận dụng được các kiến thức cơ bản về vật lý cơ, nhiệt, điện và quang.",Không biết
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần nắm vững kiến thức gì về Giải tích toán học?,"Nắm được các kiến thức liên quan đến Giải tích toán học như tính giới hạn, tính đạo hàm, tính tích phân của các hàm một biến và hàm nhiều biến.",Không biết
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần hiểu và vận dụng kiến thức gì về Đại số cao cấp?,"Hiểu và vận dụng được các kiến thức liên quan đến Đại số cao cấp như ma trận và các phép biến đổi, giải các hệ phương trình nhiều biến số.",
"Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ tại Trường Đại học Công nghệ cần nắm được kiến thức cơ bản nào về kỹ thuật điện, điện tử?","Nắm được các kiến thức cơ bản trong kỹ thuật điện, điện tử; Có khả năng thiết kế các mạch điện, điện tử thông dụng.",Tôi không biết
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ định hướng Công nghệ thông tin và Điện tử Hàng không tại Trường Đại học Công nghệ cần có kiến thức gì về viễn thám?,"Có kiến thức cơ bản về viễn thám, hệ thống thông tin địa lý, các kỹ thuật xử lý ảnh viễn thám, phân tích không gian, phát triển ứng dụng 3D trên nền bản đồ địa lý, quản lý dữ liệu không gian, xây dựng hạ tầng thông tin không gian.","Có kiến thức cơ bản về viễn thám, hệ thống thông tin địa lý, các kỹ thuật xử lý ảnh viễn thám, phân tích không gian, phát triển ứng dụng 3D trên nền bản đồ địa lý, quản"
