question,answer
Tên tiếng Việt của ngành đào tạo được nhắc đến trong văn bản là gì?,Công nghệ Kỹ thuật xây dựng
Mã số ngành Công nghệ Kỹ thuật xây dựng là bao nhiêu?,7510103
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật xây dựng được nhận danh hiệu gì?,Kỹ sư
Thời gian đào tạo ngành Công nghệ Kỹ thuật xây dựng là bao lâu?,"4,5 năm"
Văn bằng tốt nghiệp ngành Công nghệ Kỹ thuật xây dựng có tên tiếng Việt là gì?,Kỹ sư ngành Công nghệ Kỹ thuật xây dựng
Kỹ sư ngành Công nghệ Kỹ thuật xây dựng có thể làm việc ở đâu?,"Các tổng công ty, doanh nghiệp Xây dựng, Giao thông trong và ngoài nước"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật xây dựng cần có những kiến thức và kỹ năng gì về tư vấn đầu tư xây dựng công trình?,"Lập đề cương khảo sát, triển khai hồ sơ thiết kế, lập dự toán, lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu các công trình xây dựng, giao thông"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật xây dựng cần có những kiến thức gì về thi công và quản lý dự án xây dựng công trình?,"Tham gia giám sát thi công, nghiệm thu, thanh quyết toán công trình, quản lý vận hành công trình xây dựng, giao thông"
Sinh viên tốt nghiệp ngành Công nghệ Kỹ thuật xây dựng cần có những kiến thức và kỹ năng gì về đo đạc?,"Đo đạc, kiểm tra, thí nghiệm và xử lý được số liệu trong công tác thí nghiệm vật liệu xây dựng, thí nghiệm cơ học địa kỹ thuật, công tác trắc địa"
Sinh viên ngành Công nghệ Kỹ thuật xây dựng cần có những tố chất nào?,"Có tư duy phản biện, làm việc độc lập, làm việc theo nhóm, biết lập kế hoạch, điều phối, quản lí các nguồn lực, đánh giá và cải thiện hiệu quả các hoạt động trong lĩnh vực Công nghệ kỹ thuật xây dựng;"
Thông tin tuyển sinh của Trường Đại học Công nghệ dựa trên những quy định nào?,"Quy chế, Quy định về công tác tuyển sinh đại học hằng năm của Bộ Giáo dục và Đào tạo; hướng dẫn của Đại học Quốc gia Hà Nội và Đề án tuyển sinh hằng năm của Trường Đại học Công nghệ."
